stratum,va_type,level,experiment,null_model,n_simulations,n_reference,n_predicted,observed_csmf_accuracy,null_mean,null_sd,null_p2_5,null_p50,null_p97_5,observed_minus_null_mean,observed_percentile_vs_null,empirical_p_sim_ge_observed
va_type,child,level1,EXP1,uniform_codes,1000,912,912,0.9725877192982456,0.47101700680272107,0.015065147150642,0.44328231292517006,0.4705215419501133,0.5,0.5015707124955245,1.0,0.000999000999000999
va_type,child,level1,EXP1,overall_physician_prior,1000,912,912,0.9725877192982456,0.6918854875283446,0.017339817756775767,0.6598639455782312,0.691609977324263,0.727891156462585,0.28070223176990106,1.0,0.000999000999000999
va_type,child,level1,EXP1,stratum_physician_prior,1000,912,912,0.9725877192982456,0.9836666666666667,0.00787891766782813,0.9648526077097506,0.9852607709750566,0.9954648526077098,-0.011078947368421077,0.091,0.9090909090909091
va_type,child,level1,EXP2,uniform_codes,1000,912,911,0.9649905155314191,0.47194816689939784,0.01452785939044929,0.44356330164704005,0.4719390866481975,0.5003432474343562,0.4930423486320213,1.0,0.000999000999000999
va_type,child,level1,EXP2,overall_physician_prior,1000,912,911,0.9649905155314191,0.6922251767886078,0.016457763431406418,0.6592192676558366,0.6922185632394193,0.7228907022011146,0.2727653387428113,1.0,0.000999000999000999
va_type,child,level1,EXP2,stratum_physician_prior,1000,912,911,0.9649905155314191,0.9836684862016523,0.007992445006587016,0.965085338928839,0.984380872729626,0.9955813426724512,-0.018677970670233135,0.023,0.977022977022977
va_type,child,level1,EXP3,uniform_codes,1000,912,869,0.9492295540346839,0.4718314323811611,0.015307315546691696,0.44161062967572906,0.4713578565296468,0.5011050833835644,0.4773981216535228,1.0,0.000999000999000999
va_type,child,level1,EXP3,overall_physician_prior,1000,912,869,0.9492295540346839,0.6920941408400723,0.017023918303708488,0.6595447826234444,0.6914873352486373,0.7271840074733384,0.25713541319461164,1.0,0.000999000999000999
va_type,child,level1,EXP3,stratum_physician_prior,1000,912,869,0.9492295540346839,0.9831021360596407,0.008196628833516316,0.9641415446117073,0.9840310884614683,0.9954296256285406,-0.0338725820249568,0.0,1.0
va_type,child,level1,EXP4,uniform_codes,1000,912,911,0.9614350434263486,0.47164738357838565,0.014539262064484127,0.44356330164704005,0.4708040552481513,0.500314871649355,0.4897876598479629,1.0,0.000999000999000999
